//linux only
let varStartTime = datetime('2026-04-23 20:00:00'); 
let varEndTime = datetime('2026-04-23 20:30:00');   
let varSiteName = 'app-nurexapi-prod-canadaeast'; 
cluster('wawseus').database('wawsprod').WorkerApacheAccessLogEventTable  
| where (PreciseTimeStamp >= varStartTime and PreciseTimeStamp <= varEndTime)  
| where Sitename =~ varSiteName or Sitename =~ strcat("~",varSiteName) or Sitename hasprefix strcat(varSiteName,"__")  or Sitename hasprefix  strcat("~",varSiteName,"__") 
| where Cs_uri_stem contains "healthz"
//| where StatusCode != 200  
//| where ActivityId == ""  
| order by PreciseTimeStamp asc 
// | project TIMESTAMP, ActivityId,UserAgent, Cs_method, Cs_uri_stem, UpstreamStatus, UpstreamResponseTime,RoleInstance


TIMESTAMP	EventTime	Sitename	Cs_host	ActivityId	C_ip	S_ip	S_port	Cs_method	Cs_uri_stem	Status	Cs_bytes	Sc_bytes	UserAgent	FluentdIngestTimestamp	Tenant	Role	RoleInstance	Host	PreciseTimeStamp	SourceNamespace	SourceMoniker	SourceVersion	RequestTime	UpstreamResponseTime	UpstreamStatus	EventStampType	EventPrimaryStampName	EventStampName	Level	Facility	Cookie	Referer	Msg	Cs_XFF	resourceId	category	time	properties	Message	Active	Reading	Writing	Tid	EventIpAddress	Pid	EventID	WebSockets	RequestQueueLength	OutgoingConnectionsTotal	IncomingConnectionsTotal	proc_records	proc_bytes	EventId	Success	Duration	ActionCount	Cs_username	EventName	IpAddress	Reason	ContainerIdList	AdditionalInfo	Error	Protocol	ThreadpoolQueueLength	ThreadpoolThreadCount	ActiveProxyConnections	ProxyForwarderError	BindingSrc	TuxProxyBuildVersion	LastModifiedTime	ForwardAddress	TuxProxyFullVersion	SiteLastModifiedTime	ForwardProtocol	IsColdStart	TuxManBuildVersion	TuxManFullVersion	Exception
4/23/2026, 8:00:00 PM	2026-04-23T20:00:01.8658500Z	app-nurexapi-prod-canadaeast	app-nurexapi-prod-canadaeast.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	493	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:00:01.86585 PM	LWAWS	LWAWSyq09	Ver6v0	0.035	0.035	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.52																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.130.8:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-34-36-3200000-+00:00	1.1	0			
4/23/2026, 8:00:00 PM	2026-04-23T20:00:06.2544170Z	app-nurexapi-prod-canadaeast	app-nurexapi-prod-canadaeast.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	493	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:00:06.254417 PM	LWAWS	LWAWSyq17	Ver6v0	0.034	0.034	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.21																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.130.2:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-34-36-3200000-+00:00	1.1	0			
4/23/2026, 8:00:00 PM	2026-04-23T20:00:06.5546980Z	app-nurexapi-prod-canadaeast__5b99	app-nurexapi-prod-canadaeast-staging.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	515	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:00:06.554698 PM	LWAWS	LWAWSyq17	Ver6v0	0.035	0.035	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.21																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.131.8:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-16-33-8800000-+00:00	1.1	0			
4/23/2026, 8:00:00 PM	2026-04-23T20:00:29.8275970Z	app-nurexapi-prod-canadaeast	app-nurexapi-prod-canadaeast.azurewebsites.net	ac064aa6-25ab-46a1-942e-89e43ef9f442	70.55.70	10.80.0.21	80	GET	/healthz	400	1487	169	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:00:29.827597 PM	LWAWS	LWAWSyq17	Ver6v0	0.003	0.002	400	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy				70.55.70.6:61789	app-nurexapi-prod-canadaeast.azurewebsites.net									10.80.0.21																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.130.2:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-34-36-3200000-+00:00	1.1	0			
4/23/2026, 8:00:30 PM	2026-04-23T20:00:30.9016850Z	app-nurexapi-prod-canadaeast	app-nurexapi-prod-canadaeast.azurewebsites.net	308a548f-9e4d-4557-83f0-f1a2942e72c5	70.55.70	10.80.0.21	80	GET	/healthz	400	1454	169	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:00:30.901685 PM	LWAWS	LWAWSyq17	Ver6v0	0.002	0.002	400	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy				70.55.70.6:61789	app-nurexapi-prod-canadaeast.azurewebsites.net									10.80.0.21																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.130.2:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-34-36-3200000-+00:00	1.1	0			
4/23/2026, 8:00:30 PM	2026-04-23T20:00:58.9675890Z	app-nurexapi-prod-canadaeast__5b99	app-nurexapi-prod-canadaeast-staging.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	515	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:00:58.967589 PM	LWAWS	LWAWSyq09	Ver6v0	0.033	0.033	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.52																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.131.8:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-16-33-8800000-+00:00	1.1	0			
4/23/2026, 8:01:00 PM	2026-04-23T20:01:01.8624580Z	app-nurexapi-prod-canadaeast	app-nurexapi-prod-canadaeast.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	493	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:01:01.862458 PM	LWAWS	LWAWSyq09	Ver6v0	0.036	0.036	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.52																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.130.8:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-34-36-3200000-+00:00	1.1	0			
4/23/2026, 8:01:00 PM	2026-04-23T20:01:06.3440170Z	app-nurexapi-prod-canadaeast	app-nurexapi-prod-canadaeast.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	493	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:01:06.344017 PM	LWAWS	LWAWSyq17	Ver6v0	0.124	0.124	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.21																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.130.2:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-34-36-3200000-+00:00	1.1	0			
4/23/2026, 8:01:00 PM	2026-04-23T20:01:06.5465790Z	app-nurexapi-prod-canadaeast__5b99	app-nurexapi-prod-canadaeast-staging.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	515	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3447	ln0sdlwk0002NR	4/23/2026, 8:01:06.546579 PM	LWAWS	LWAWSyq17	Ver6v0	0.03	0.03	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.21																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.131.8:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-16-33-8800000-+00:00	1.1	0			
4/23/2026, 8:01:30 PM	2026-04-23T20:01:58.9668030Z	app-nurexapi-prod-canadaeast__5b99	app-nurexapi-prod-canadaeast-staging.azurewebsites.net		127.0.0	127.0.0.1	80	GET	/healthz	200	515	320	HealthCheck/1.0		waws-prod-yq1-017	ln0SmallDedicatedLinuxWebWorkerRole	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	ln0sdlwk0002LV	4/23/2026, 8:01:58.966803 PM	LWAWS	LWAWSyq09	Ver6v0	0.034	0.034	200	Stamp	waws-prod-yq1-017	waws-prod-yq1-017		TuxProxy														10.80.0.52																				HTTP/1.1					LWASv2	107.0.7.123		http://169.254.131.8:8080/	107.0.7.123 (release_ANT107-1ce085a7)+1ce085a760284a2ace5bb9f21eb6a94ed4404304	04/23/26-15-16-33-8800000-+00:00	1.1	0			
