// linux only
let varStartTime = datetime('2026-04-23 20:00:00'); 
let varEndTime = datetime('2026-04-23 20:30:00'); 
cluster('wawseus').database('wawsprod').WorkerLWASV2EventTable
| where (PreciseTimeStamp >= varStartTime and PreciseTimeStamp < varEndTime)
| where RoleInstance in ('ln0SmallDedicatedLinuxWebWorkerRole_IN_3447','ln0SmallDedicatedLinuxWebWorkerRole_IN_3379') and EventPrimaryStampName == 'waws-prod-yq1-017'
| project TIMESTAMP,PreciseTimeStamp,Level,SiteName,RoleInstance,Msg,Host,EventIpAddress
TIMESTAMP	PreciseTimeStamp	Level	SiteName	RoleInstance	Msg	Host	EventIpAddress
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:01.864248 PM	INFO	app-nurexapi-prod-canadaeast	ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	HTTP GET request to http://localhost:80/healthz with headers [User-Agent, MWH-SecurityToken, Host, X-Forwarded-Proto, x-ms-auth-internal-token, DISGUISED-HOST, X-ARR-SSL] responded with status 200 in 34.35 ms. Success: True	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:02.824466 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	DataServiceApiTransaction : [103]: Id: c7b865a1-240a-4860-ad08-4adb8d4ea444, Uri: https://10.0.128.8:12280/DataSvcApi_v107.0/operations/getOperations/DWAS, ClientName: 10.80.0.52, Method: GET, StatusCode: 200, Reason: , Latency(ms): 2, Operation: GetOperations, Attempt: 1, ContentLen: 604, ErrorDetails: , IsTransient: False, OperationTimeout: 59500, PartialHeaders: {"x-ms-requirelease":"False"}, RequestContentType: , ResponseContentType: application/json, DataServiceRequestId: 3a559a0e-d815-48ee-ac08-cf28cf57522f, ClientProcess: dotnet, ClientVersion: 107.0.7.126, ServerVersion: 107.0.7.121, ServerIpAddress: 10.0.128.8, RequestAborted: False, EndpointType: NonLeaseOwner, LeaseType: , 	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.15673 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.165987 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.170908 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.195242 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 37 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.203588 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 37 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.207944 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 37 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.220793 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.238613 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 17 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.262431 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.267203 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.273535 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Launching Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"].	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.301126 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 38 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.301171 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 34 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:03.30507 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	Command: ["ps","-e","-w","-w","-o","uid,pid,ppid,c,stime,tname,time,comm,args"] finished with exit code: 0 in 31 ms. Error: ''	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:04.997751 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	DataServiceApiTransaction : [103]: Id: bd6466f1-55ff-46a9-9c60-dfe4a9b97d64, Uri: https://10.0.128.8:12280/DataSvcApi_v107.0/webworkers/ln0sdlwk0002LV/per-site-runtime-notifications?checkTimeUtc=2026-04-23T15%3A34%3A36.3200000Z, ClientName: 10.80.0.52, Method: POST, StatusCode: 200, Reason: , Latency(ms): 1, Operation: GetPerSiteRuntimeNotifications, Attempt: 1, ContentLen: 61, ErrorDetails: , IsTransient: False, OperationTimeout: 599499, PartialHeaders: {"x-ms-requirelease":"True","x-ms-leasetype":"Primary"}, RequestContentType: application/json; charset=utf-8, ResponseContentType: application/json, DataServiceRequestId: 870f7e5d-75df-447d-94f8-c2016856925d, ClientProcess: dotnet, ClientVersion: 107.0.7.126, ServerVersion: 107.0.7.121, ServerIpAddress: 10.0.128.8, RequestAborted: False, EndpointType: LeaseOwner, LeaseType: Primary, 	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:04.998289 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	app-nurexapi-prod-canadaeast__7a14 : [90]: Checking for changes for site: app-nurexapi-prod-canadaeast__7a14 Updated time: '0001-01-01T00:00:00.000Z'. Current checkpoint time: '2026-04-23T15:34:36.320Z'.	ln0sdlwk0002LV	10.80.0.52
4/23/2026, 8:00:00 PM	4/23/2026, 8:00:12.828338 PM	INFO		ln0SmallDedicatedLinuxWebWorkerRole_IN_3379	DataServiceApiTransaction : [90]: Id: f1b95746-95c2-40d9-9a0c-0eea527b1af6, Uri: https://10.0.128.8:12280/DataSvcApi_v107.0/operations/getOperations/DWAS, ClientName: 10.80.0.52, Method: GET, StatusCode: 200, Reason: , Latency(ms): 2, Operation: GetOperations, Attempt: 1, ContentLen: 604, ErrorDetails: , IsTransient: False, OperationTimeout: 59500, PartialHeaders: {"x-ms-requirelease":"False"}, RequestContentType: , ResponseContentType: application/json, DataServiceRequestId: bdce64de-2181-4b22-be0a-ef6bfce56d5c, ClientProcess: dotnet, ClientVersion: 107.0.7.126, ServerVersion: 107.0.7.121, ServerIpAddress: 10.0.128.8, RequestAborted: False, EndpointType: NonLeaseOwner, LeaseType: , 	ln0sdlwk0002LV	10.80.0.52
